default_city	default_postal	default_state_province	usgs_region
Clinton	28328	NC	Southeast
Cherokee	28719	NC	Southeast
Hollister	27844	NC	Southeast
Pembrook	28372	NC	Southeast
Ahoskie	27910	NC	Southeast
Falkville	35622	AL	Southeast
Elba	36323	AL	Southeast
Mt Vernon	36560	AL	Southeast
Birmingham	35242	AL	Southeast
Atmore	36502	AL	Southeast
Miami	33125	FL	Southeast
Bruce	32455	FL	Southeast
Hollywood	33024	FL	Southeast
Rock Hill	29730	SC	Southeast
Choctaw	39350	MS	Southeast
Palm Springs	92264	CA	Pacific
Alturas	96101	CA	Pacific
Coachella	92236	CA	Pacific
Loleta	95551	CA	Pacific
Oroville	95966	CA	Pacific
Arcata	95521	CA	Pacific
Big Pine	93513	CA	Pacific
Auberry	93602	CA	Pacific
Lakeport	95453	CA	Pacific
Bishop	93514	CA	Pacific
Blue Lake	95525	CA	Pacific
Bridgeport	93517	CA	Pacific
Sacramento	95811	CA	Pacific
Indio	92203	CA	Pacific
Colusa	95932	CA	Pacific
Laytonville	95454	CA	Pacific
Anza	92539-1760	CA	Pacific
La Grange	95329	CA	Pacific
Campo	91906	CA	Pacific
Lakeside	92040	CA	Pacific
St, Alturas	96101	CA	Pacific
Blythe	92363	CA	Pacific
Trinidad	95570	CA	Pacific
Jamestown	95327	CA	Pacific
Cloverdale	95425	CA	Pacific
Tollhouse	32535	CA	Pacific
Redwood Valley	95470	CA	Pacific
Santa Rosa	95403	CA	Pacific
Clearlake Oaks	95423	CA	Pacific
Crescent City	95531	CA	Pacific
Alpine	91901	CA	Pacific
Rohnert Park	94928	CA	Pacific
Fort Bidwell	96112	CA	Pacific
Independence	93526	CA	Pacific
Needles	92363	CA	Pacific
Greenville	95947	CA	Pacific
Elk Creek	95939	CA	Pacific
Ukiah	95482	CA	Pacific
Upper Lake	95485	CA	Pacific
Hoopa	95546	CA	Pacific
Hopland	95449	CA	Pacific
Santa Ysabel	92070	CA	Pacific
Escondido	92025	CA	Pacific
Plymouth	95669	CA	Pacific
Jackson	95642	CA	Pacific
Jamul	91935	CA	Pacific
San Juan	92675	CA	Pacific
Happy Camp	96039	CA	Pacific
Williams	95987	CA	Pacific
Santa Rosa	95402	CA	Pacific
Pauma Valley	92061	CA	Pacific
Boulevard	91905	CA	Pacific
Lone Pine	93545	CA	Pacific
Warner Springs	92086	CA	Pacific
Point Arena	95468	CA	Pacific
Chico	95926	CA	Pacific
Middletown	95461	CA	Pacific
Banning	92220	CA	Pacific
North Fork	93643	CA	Pacific
Pala	92059	CA	Pacific
Corning	96021	CA	Pacific
Temecula	92392	CA	Pacific
Oakhurst	93644	CA	Pacific
Burney	96013	CA	Pacific
Fort Jones	96032	CA	Pacific
Anza	92539	CA	Pacific
Redding	96001	CA	Pacific
Klamath	95548	CA	Pacific
Valley Center	92082	CA	Pacific
Nice	95464	CA	Pacific
Highland	92346	CA	Pacific
Mountain Center	92561	CA	Pacific
Lemoore	93245	CA	Pacific
Santa Ynez	93460	CA	Pacific
Concord	94518	CA	Pacific
Willits	95490	CA	Pacific
Placerville	95667	CA	Pacific
Smith River	95567	CA	Pacific
San Jacinto	92583	CA	Pacific
Susanville	96130	CA	Pacific
El Cajon	92019	CA	Pacific
Friant	93626	CA	Pacific
Bakersfield	93309	CA	Pacific
Thermal	92274	CA	Pacific
Porterville	93257	CA	Pacific
Tuolumne	95379	CA	Pacific
Auburn	95603	CA	Pacific
Benton	93512	CA	Pacific
Elk Grove	95624	CA	Pacific
Duckwater	89314	NV	Pacific
Elko	89801	NV	Pacific
Ely	89301	NV	Pacific
McDermitt	89421	NV	Pacific
Las Vegas	89016	NV	Pacific
Lovelock	89419	NV	Pacific
Moapa	89025	NV	Pacific
