City	Sunrise	Sunset
Mobile	4:58 am	5:51 pm ↑ (262°)
Montgomery	4:50 am	5:42 pm ↑ (262°)
Thomasville	5:25 am	6:15 pm ↑ (262°)
Talladega	4:49 am	5:41 pm ↑ (262°)
Tuscaloosa	4:55 am	5:47 pm ↑ (262°)
Akron	5:28 am	6:17 pm ↑ (261°)
Cincinnati	5:41 am	6:30 pm ↑ (261°)
Cleveland	5:28 am	6:17 pm ↑ (261°)
Columbus	5:35 am	6:24 pm ↑ (261°)
Dalton	5:44 am	6:35 pm ↑ (262°)
Elyria	5:30 am	6:19 pm ↑ (261°)
Fairfield	5:10 am	5:59 pm ↑ (261°)
Hillsboro	5:11 am	5:59 pm ↑ (261°)
Lima	5:39 am	6:28 pm ↑ (261°)
Marysville	5:09 am	5:59 pm ↑ (261°)
Mason	5:40 am	6:29 pm ↑ (261°)
Morristown	5:00 am	5:49 pm ↑ (261°)
Oberlin	5:31 am	6:20 pm ↑ (261°)
Prospect	5:46 am	6:35 pm ↑ (261°)
Portsmouth	5:09 am	5:59 pm ↑ (262°)
Sterling	5:13 am	6:02 pm ↑ (261°)
Toledo	5:36 am	6:24 pm ↑ (261°)
Urbana	4:55 am	5:45 pm ↑ (261°)
Waynesville	5:36 am	6:27 pm ↑ (262°)
Wooster	5:30 am	6:19 pm ↑ (261°)
Youngstown	5:25 am	6:13 pm ↑ (261°)
Edison	5:00 am	5:49 pm ↑ (261°)
Paterson	4:59 am	5:48 pm ↑ (261°)
Wharton	5:30 am	6:24 pm ↑ (262°)
Woodbury	5:11 am	5:59 pm ↑ (261°)
Bismarck	5:41 am	6:29 pm ↑ (260°)
Dickinson	4:49 am	5:37 pm ↑ (260°)
Fargo	5:25 am	6:13 pm ↑ (260°)
Williston	5:51 am	6:39 pm ↑ (260°)
Casper	5:06 am	5:55 pm ↑ (261°)
Cheyenne	5:01 am	5:50 pm ↑ (261°)
Evanston	4:52 am	5:41 pm ↑ (261°)
Riverton	5:14 am	6:03 pm ↑ (261°)
Thermopolis	5:13 am	6:02 pm ↑ (261°)
Alexandria	5:11 am	6:01 pm ↑ (261°)
