State,Latitude,Longitude,Sun and Moon Data
Massachusetts,42.3601,-71.0589,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:09  ST'}, {'phen': 'Rise', 'time': '09:46  ST'}, {'phen': 'Upper Transit', 'time': '18:00  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '05:43  ST'}, {'phen': 'Rise', 'time': '06:11  ST'}, {'phen': 'Upper Transit', 'time': '11:55  ST'}, {'phen': 'Set', 'time': '17:40  ST'}, {'phen': 'End Civil Twilight', 'time': '18:09  ST'}], 'tz': -5.0, 'year': 2025}"
Michigan,42.7335,-84.5555,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '02:07  ST'}, {'phen': 'Rise', 'time': '10:40  ST'}, {'phen': 'Upper Transit', 'time': '18:56  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:37  ST'}, {'phen': 'Rise', 'time': '07:05  ST'}, {'phen': 'Upper Transit', 'time': '12:49  ST'}, {'phen': 'Set', 'time': '18:34  ST'}, {'phen': 'End Civil Twilight', 'time': '19:03  ST'}], 'tz': -5.0, 'year': 2025}"
Minnesota,44.9551,-93.1022,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '02:54  ST'}, {'phen': 'Rise', 'time': '11:05  ST'}, {'phen': 'Upper Transit', 'time': '19:31  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '07:11  ST'}, {'phen': 'Rise', 'time': '07:41  ST'}, {'phen': 'Upper Transit', 'time': '13:24  ST'}, {'phen': 'Set', 'time': '19:07  ST'}, {'phen': 'End Civil Twilight', 'time': '19:36  ST'}], 'tz': -5.0, 'year': 2025}"
Mississippi,32.2988,-90.1848,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:52  ST'}, {'phen': 'Rise', 'time': '11:43  ST'}, {'phen': 'Upper Transit', 'time': '19:19  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:57  ST'}, {'phen': 'Rise', 'time': '07:22  ST'}, {'phen': 'Upper Transit', 'time': '13:12  ST'}, {'phen': 'Set', 'time': '19:02  ST'}, {'phen': 'End Civil Twilight', 'time': '19:27  ST'}], 'tz': -5.0, 'year': 2025}"
Missouri,38.5767,-92.1735,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '02:22  ST'}, {'phen': 'Rise', 'time': '11:29  ST'}, {'phen': 'Upper Transit', 'time': '19:28  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '07:07  ST'}, {'phen': 'Rise', 'time': '07:33  ST'}, {'phen': 'Upper Transit', 'time': '13:20  ST'}, {'phen': 'Set', 'time': '19:07  ST'}, {'phen': 'End Civil Twilight', 'time': '19:34  ST'}], 'tz': -5.0, 'year': 2025}"
Montana,46.5891,-112.0391,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '04:22  ST'}, {'phen': 'Rise', 'time': '12:14  ST'}, {'phen': 'Upper Transit', 'time': '20:50  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '08:27  ST'}, {'phen': 'Rise', 'time': '08:57  ST'}, {'phen': 'Upper Transit', 'time': '14:39  ST'}, {'phen': 'Set', 'time': '20:22  ST'}, {'phen': 'End Civil Twilight', 'time': '20:52  ST'}], 'tz': -5.0, 'year': 2025}"
Nebraska,40.8081,-96.6997,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '02:50  ST'}, {'phen': 'Rise', 'time': '11:39  ST'}, {'phen': 'Upper Transit', 'time': '19:46  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '07:25  ST'}, {'phen': 'Rise', 'time': '07:52  ST'}, {'phen': 'Upper Transit', 'time': '13:38  ST'}, {'phen': 'Set', 'time': '19:24  ST'}, {'phen': 'End Civil Twilight', 'time': '19:51  ST'}], 'tz': -5.0, 'year': 2025}"
Nevada,39.1638,-119.7664,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '04:20  ST'}, {'phen': 'Rise', 'time': '13:21  ST'}, {'phen': 'Upper Transit', 'time': '21:23  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '08:57  ST'}, {'phen': 'Rise', 'time': '09:24  ST'}, {'phen': 'Upper Transit', 'time': '15:10  ST'}, {'phen': 'Set', 'time': '20:57  ST'}, {'phen': 'End Civil Twilight', 'time': '21:24  ST'}], 'tz': -5.0, 'year': 2025}"
New Hampshire,43.2081,-71.5376,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:14  ST'}, {'phen': 'Rise', 'time': '09:44  ST'}, {'phen': 'Upper Transit', 'time': '18:02  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '05:45  ST'}, {'phen': 'Rise', 'time': '06:13  ST'}, {'phen': 'Upper Transit', 'time': '11:57  ST'}, {'phen': 'Set', 'time': '17:42  ST'}, {'phen': 'End Civil Twilight', 'time': '18:10  ST'}], 'tz': -5.0, 'year': 2025}"
New Jersey,40.2206,-74.7691,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:15  ST'}, {'phen': 'Rise', 'time': '10:11  ST'}, {'phen': 'Upper Transit', 'time': '18:15  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '05:57  ST'}, {'phen': 'Rise', 'time': '06:24  ST'}, {'phen': 'Upper Transit', 'time': '12:10  ST'}, {'phen': 'Set', 'time': '17:57  ST'}, {'phen': 'End Civil Twilight', 'time': '18:24  ST'}], 'tz': -5.0, 'year': 2025}"
New Mexico,35.6822,-105.9394,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '03:09  ST'}, {'phen': 'Rise', 'time': '12:37  ST'}, {'phen': 'Upper Transit', 'time': '20:25  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '08:01  ST'}, {'phen': 'Rise', 'time': '08:26  ST'}, {'phen': 'Upper Transit', 'time': '14:15  ST'}, {'phen': 'Set', 'time': '20:04  ST'}, {'phen': 'End Civil Twilight', 'time': '20:29  ST'}], 'tz': -5.0, 'year': 2025}"
New York,42.6526,-73.7562,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:21  ST'}, {'phen': 'Rise', 'time': '09:56  ST'}, {'phen': 'Upper Transit', 'time': '18:11  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '05:54  ST'}, {'phen': 'Rise', 'time': '06:22  ST'}, {'phen': 'Upper Transit', 'time': '12:06  ST'}, {'phen': 'Set', 'time': '17:51  ST'}, {'phen': 'End Civil Twilight', 'time': '18:19  ST'}], 'tz': -5.0, 'year': 2025}"
North Carolina,35.7804,-78.6391,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:15  ST'}, {'phen': 'Rise', 'time': '10:44  ST'}, {'phen': 'Upper Transit', 'time': '18:31  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:12  ST'}, {'phen': 'Rise', 'time': '06:37  ST'}, {'phen': 'Upper Transit', 'time': '12:26  ST'}, {'phen': 'Set', 'time': '18:14  ST'}, {'phen': 'End Civil Twilight', 'time': '18:40  ST'}], 'tz': -5.0, 'year': 2025}"
